Id,Label,Poi,Latitude,Longitude,Tag01,Tag02,Tag03,Tag04,Tag05,Tag06,Tag07
32,"Retro vibes, filled with early risers and longtime locals. Known for its bacon, egg, and cheese at sunrise, sizzling home fries, and old-school counter service.","Bill's
",40.6962797763993,-73.9049156523448,Diner,Morning,RetroVibes,CashOnly,BakeryFav,Bites,Morning
33,"A true late-night classic—fried chicken, pizza, and milkshakes under one roof, with generous portions and a no-nonsense vibe that keeps the neighborhood coming back.","Crown Fried Chicken
",40.6952958456446,-73.9204921467257,LateNight,FriedChicken,Pizza,GrabAndGo,Affordable,Takeout,Classic
34,"A burger spot where late-night cravings meet warm service—some orders miss the mark, but the sweet potato fries set a new standard. The staff? Some make you feel at home, others leave you waiting.","Bushwick Burger Co.
",40.6961995132077,-73.9095718755613,Burgers,SweetPotatoFries,LateNight,Friendly,ServiceConcern,Takeout,Casual
35,"A family-run spot where the owner remembers your usual, the scallion pancake breakfast sandwich is a must, and the backyard mural makes morning coffee feel like a little escape.","C&B Luncheonette
",40.6962772015312,-73.9049725510236,Morning,LocalFavorite,BakeryFav,Friendly,Backyard,CoffeeLovers,Affordable
36,"A 3 AM tostada, crisp and piled high, hits different when you’re slightly buzzed and starving. Birria burritos are thick and juicy, and the chimichanga meal is pure comfort.","Itzel's Taqueria Deli
",40.6979425913366,-73.9077301848231,Tacos,Bites,LateNight,Bites,Mexican,Chimichanga,Munchies
37,"A wood-fired pizza spot where locals swear by the Hot Mess, jazz plays on the patio, and the servers make you feel like family. Order the truffle pizza and stay for the wine.","pàn
",40.6942990901762,-73.9023113751425,Pizza,HotMess,Pizza,Jazz,Healing,CommunityHub,WarmService
38,"A late-night craving led to a backyard table, fire pit glowing, a plate of al pastor tacos glistening under string lights. One bite—smoky, sweet, perfection. laughter lingers late into the night.","Ilegal Taqueria
",40.6896182007486,-73.9063389781092,Tacos,AlPastor,SpecialtyDrinks,Backyard,FirePit,CozyVibe,FullBar
39,"Rosa’s Steakhouse feels like a party where the food steals the show—tender churrasco, unforgettable empanadas, and coconut mojitos, all with DJs, dancing, and servers who treat you like family.","Rosa’s Steakhouse
",40.691359103619,-73.9087744237845,Cocktail,Dominican,Steakhouse,Empanada,PerformanceVenue,WarmService,LocalFavorite
40,"A 24-hour deli with the friendliest staff, a legendary chopped cheese, and a spicy bodega cat guarding the snacks. Jackie at the register might just change your life.",Fire House Deli & Grill 2,40.688975519503,-73.9052982810585,DeliTaste,Bites,24HR,CoffeeLovers,Bodega,Friendly,Stocked
41,"A tiny space packed with bold Thai flavors—drunken noodles, fragrant curries, and crispy ribs that keep regulars coming back. Friendly staff, fast takeout, and the spice levels are no joke.","Golden Thai
",40.6956917729596,-73.9079963645168,Thai,DrunkenNoodles,Curry,Takeout,Spicy,SmallButMighty,LocalFavorite
42,"A place of nostalgia and strong opinions—some call it the best Puerto Rican food in Brooklyn, others mourn the past. Late-night mofongo still comforts, but pasteles spark disappointment.","La Isla
",40.6989962183037,-73.9182629699895,PuertoRican,Alcapurrias,SopaDePollo,LateNight,PuertoRican,CashOnly,RetroVibes
43,"I stepped into Jimmy’s on a freezing night, craving warmth. Their grandma slice, crispy yet airy, tasted like home—perfect sauce, golden crust, no pretense. Just solid, old-school pizza, holding the neighborhood down.","Jimmy's Pizza
",40.6913791927287,-73.9090759374807,LocalFavorite,RetroVibes,LocalFavorite,LateNight,ComfortFood,RetroVibes,Pizza
44,"A late-night taco craving turned into a full-blown obsession—massive portions, smoky birria, and pineapple-loaded al pastor. Sometimes inconsistent, but when they get it right, it’s unforgettable.","Bushwick Taco Company
",40.6920152183661,-73.9061493859193,LateNight,Affordable,FreshProduce,Tacos,Delivery,FlavorPacked,Casual
45,"“I’ve celebrated birthdays here, and it always feels like home.”  The pernil melts in your mouth, but it’s the warm, family-like atmosphere that keeps regulars coming back.","Lugo's Restaurant & Lounge
",40.6964538610204,-73.8999537294725,Dominican,Pernil,FamilyStyle,LocalFavorite,LocalFavorite,ComfortFood,CelebrationSpot
46,"A go-to for homesick Puerto Ricans, where rotisserie chicken drips with seasoning and arroz con gandules feels like family dinner. Service wavers, but the food keeps people coming back.","Aris Pollos A La Brasa
",40.6947204615892,-73.910754370577,Bites,Dominican,FreshProduce,LateNight,FamilyStyle,Takeout,FlavorPacked
47,"Big portions, fast service, and a husband-and-wife team who make you feel at home—order the General Tso’s tofu and grab a side of their dope chili oil.","Chen Yuan
",40.6942563458685,-73.910531270577,Takeout,ChineseFood,GrabAndGo,WarmService,FamilyStyle,Spicy,LocalFavorite
48,"The boneless spare ribs keep people coming back.General Tso’s is sweet, shrimp and broccoli requests might get you an eye-roll. Love it or hate it, the lady at the counter is unforgettable.","Hong Kong Expres
",40.6961456892733,-73.904631408608,Takeout,ChineseFood,SesameChicken,Bites,CashOnly,CommunityHub,Affordable
49,"Stepping into Fazio’s feels like walking into a neighborhood time capsule, where the scent of bubbling Sicilian slices and laughter of regulars fill the air, and the first bite takes you home.","Fazio's
",40.6945147784781,-73.9103109883681,SicilianTradition,CommunityHub,LocalFavorite,LocalFavorite,RetroVibes,WarmService,Pizza
50,"A funky Vietnamese café where housemade sauces steal the show. It is the place someone walked 20 minutes in freezing weather for a seitan banh mi—worth it. Vibrant decor, cozy vibes, and top-tier vegetarian options.","Nhà Mình
",40.6969973104916,-73.9062631116814,Vietnamese,Vietnamese,Vietnamese,FamilyStyle,VegetarianFriendly,CozyVibe,Artsy
51,"A neighborhood staple with crispy fried chicken that rivals the big chains, a Philly cheesesteak locals swear by, and home-run spicy chicken that keeps regulars coming back. Quick service, fair prices, and friendly banter at the counter.","New Texas Chicken and Grill
",40.6895325308813,-73.9058229583081,FriedChicken,Spicy,Steakhouse,CommunityHub,Bites,GrabAndGo,Affordable
52,"A lively sports bar where Super Bowl Sundays feel like home—juicy burgers, crispy wings, and cold beer fuel the cheers. Fair prices, good vibes, and a playlist that never misses.","Punta Cana Sports Bar
",40.6914028278213,-73.909427437587,SportsBar,Burgers,Bites,CoffeeLovers,Game,EnergyVibe,CommunityHub
53,"A creative nightlife hub with drag shows, burlesque, and karaoke Sundays. A divey warehouse vibe, murals everywhere, and tacos that even a picky Mexican approves of.","The Deep End
",40.6945200550913,-73.902224123322,DragShows,Burlesque,Karaoke,Tacos,UndergroundVibes,Queer,ArtisticEnergy
54,"A true dive bar with green leather booths, cheap beer-shot combos, and the crispiest fried pickles. Pool table, pinball, and killer trivia nights make it a local favorite.","Bonus Room
",40.6962201581016,-73.9046810266684,DiveBar,Bites,PoolTable,CommunityHub,SpecialtyDrinks,Healing,CommunityHub
55,"A Brooklyn nightlife gem with a strict no-phones rule, 2-for-1 happy hour, free water stations, and DJs spinning until sunrise. Come for the music, stay for the tacos and outdoor hammocks.","Nowadays
",40.6926084041983,-73.9015374778453,DJCulture,NoPhones,HappyHour,DJCulture,LateNight,Tacos,OutdoorSeating
56,"A lively neighborhood bar where warm lighting, live jazz nights, and oversized cocktails set the perfect scene for a memorable night out, with friendly bartenders and a cozy, stylish interior.","Doublé
",40.6948333198753,-73.9062070646159,PerformanceVenue,EnergyVibe,CozyVibe,StylishInterior,Friendly,SpecialtyDrinks,LocalFavorite
57,"A go-to sports bar with plenty of TVs, drink deals, and a growing event space downstairs—perfect for game day, networking, or a private speakeasy-style gathering.",Bar28,40.6948495889328,-73.9061963357803,SportsBar,CheapDrinks,Game,PerformanceVenue,SportsBar,LocalFavorite,TVScreens
58,"A neighborhood bar that turns into your second living room—where laundry trips turn into beer breaks, and grilled cheese with tomato soup feels like a hug. Stay for the backyard, stay longer for the PB&J shots.","Phil’s

",40.6947763781431,-73.9106058872012,Bites,Backyard,SpecialtyDrinks,LocalFavorite,BoardGames,HappyHour,CozyVibe
59,"A bar where magic lingers in the air—cocktails crafted with care, a backyard humming with laughter, karaoke nights that feel like home, and a warmth that welcomes everyone who walks through the door.","Witching Hour
",40.6912279670913,-73.9049798357803,LocalFavorite,Cocktail,Karaoke,HappyHour,LocalFavorite,Casual,ArtisticEnergy
60,"A Ridgewood staple with 2-for-1 happy hour, free hot dogs, and spicy hibiscus margaritas—come for the cheap drinks, stay for the unfiltered dive bar charm and local chaos.","Myrtle Pub
",40.7006309382677,-73.9040421560202,HappyHour,DiveBar,CheapDrinks,Bites,SpecialtyDrinks,CommunityHub,LocalFavorite
61,"A true neighborhood bar—strong drinks, hip-hop playlists, and a patio for people-watching. Service can be hit or miss, but the fried mac n' cheese and homemade sangria are worth it.","Bar Cornelia
",40.6904878,-73.9155063375303,DiveBar,OutdoorSeating,CheapDrinks,HipHop,SpecialtyDrinks,FreshProduce,CommunityHub
62,"The DJ was spinning deep-cut R&B classics, and suddenly the whole bar felt like an intimate dance floor—strangers swaying, heads nodding, and someone in the back quietly singing along.","Filthy Diamond
",40.6949567486717,-73.9112639497496,R&B,Vinyl,CommunityHub,DJCulture,MusicLovers,EnergyVibe,LateNight
63,"A bar with hipster nostalgia, old décor, and espresso martinis worth talking about. Board games, vintage oddities, and bad movie nights make it a go-to for casual hangs and deep dives.","The Bad Old Days
",40.7010919862183,-73.9081487632429,SpecialtyDrinks,Hipster,RetroVibes,BoardGames,LateNight,Cocktail,CommunityHub
64,"A neighborhood hideout where locals trade stories over whiskey and pinball. A little dark, a little divey, but always full of familiar faces, heavy pours, and the occasional late-night jerk chicken.","The Evergreen
",40.68600248475510,-73.9081344748872,Cocktail,Pinball,DiveBar,Regulars,Bites,LateNight,CommunityHub
65,"A cozy café with rich coffee, warm service, and a welcoming space perfect for a relaxed breakfast. A neighborhood favorite that hits the spot every time.","Merv’s Bar
",40.6996858534125,-73.9158480988251,Cafe,CoffeeLovers,Morning,CozyVibe,Affordable,LocalFavorite,WarmService
66,"A dive bar with personality—cheap drinks, a pool table, and a food window serving loaded nachos and spice bags. Service is unpredictable, but regulars swear by the wings and late-night eats.","Aunt Ginny's
",40.70562751486,-73.9070280061715,DiveBar,CheapDrinks,PoolTable,LateNight,SpiceBag,Bites,UnpredictableService
67,"Walked in for a beer, stayed for the jukebox, darts, and a backyard that felt like a summer BBQ. Cash only, cheap drinks, and zero pretense—exactly what a neighborhood bar should be.","Old Stanley's Bar
",40.7010282180464,-73.9140084178406,DiveBar,CashOnly,Jukebox,Backyard,Darts,CheapDrinks,NoFrills
68,"A sprawling venue with eclectic crowds, cheap drinks, wild dance parties, and a smoky outdoor space—where music shakes the walls, bartenders shape the night, and every visit feels like stepping into another world.","TV Eye
",40.69788337794170,-73.905231240517,PerformanceVenue,OutdoorSeating,UndergroundVibes,SpecialtyDrinks,DJCulture,LocalFavorite,UnsafeAtNight
69,"The place is a mix of nostalgia and frustration, where a free pizza with your drink might be the best deal in town—or a disappointing reminder of what once was.","Cozy Corner
",40.7017241250666,-73.8988462981882,LocalFavorite,EnergyVibe,CommunityHub,ServiceConcern,Pizza,EnergyVibe,HitOrMiss
70,"A gothic-infused bar with taxidermy, a hidden basement dance floor, and oxtail nachos worth raving about. The cocktails can be hit or miss, but the heated backyard is a solid retreat.","Talon Bar
",40.7010954779697,-73.9143596119752,GothBar,Taxidermy,BasementDancefloor,Bites,Cocktail,OutdoorSeating,DJCulture
71,"A rowdy dive with a pool table, loud rock, and a backyard for late-night hangs. Espresso martinis, a killer patty melt, and a mischievous jukebox keep the chaos fun.","Bootleg Bar
",40.6988384957226,-73.9172329757807,DiveBar,PoolTable,PattyMelt,SpecialtyDrinks,MusicLovers,Backyard,RowdyVibes
72,"""A rare find: a park that welcomes both kids and dogs. Green space, picnics, a play area, and a peaceful vibe—just wish people picked up after their pets more!""","Irving Square Park
",40.6927826748937,-73.9090895425963,PetFriendly,FamilyStyle,UrbanGreenery,Kids,PicnicPerfect,CommunityHub,PetFriendly
73,"A park of two realities—mornings filled with peaceful joggers and playful children, nights overtaken by chaos.","Bushwick Playground
",40.6961703872112,-73.9118681300186,Kids,Kids,Chaos,Soccer,UnsafeAtNight,CommunityHub,EnergyVibe
74,"A gritty DIY venue on the Ridgewood-Bushwick line, where indie bands, raves, and brass ensembles collide. A massive backyard, booming sound system, cheap drinks, and unpredictable nights make it a local favorite.",Trans-Pecos,40.6974084626594,-73.9061601502108,DIYVenue,LocalFavorite,LocalFavorite,Backyard,Queer,UndergroundVibes,CheapDrinks
75,"An intimate underground venue where the bass hits deep, the crowd moves till sunrise, and the sound system either makes or breaks the night. Just wish water wasn’t $5 a bottle.",H0L0,40.6945507330252,-73.9021457107212,UndergroundVibes,MusicLovers,MusicLovers,NoFreeWater,LateNight,DJCulture,Chaos
76,"A creative sanctuary in Brooklyn where live music, performances, and community gatherings create an atmosphere of connection. A place for healing, artistic expression, and unforgettable nights filled with pure energy.","Rakit Club
",40.6913238371663,-73.9028424209739,PerformanceVenue,CommunityHub,Healing,LateNight,CommunityHub,ArtisticEnergy,MagicalMoments
77,"An intimate venue where local talent shines, with strong acoustics and a welcoming community. From all-ages shows to late-night sets, it’s a space built for music, art, and connection.","Stone Circle Theatre
",40.7015409932921,-73.8995453869029,PerformanceVenue,LocalFavorite,CommunityHub,Kids,EnergyVibe,PerformanceVenue,ArtisticEnergy
78,"A hidden jazz haven where young musicians play for love, not price—no charge, just donations, and a room that hums like an old vinyl spinning under warm, low lights.","Wilson Live
",40.6899324004177,-73.9058872445741,Jazz,LocalFavorite,LateNight,MusicLovers,Jazz,ArtisticEnergy,EnergyVibe
79,"A music venue where the sound system and stage lighting can create magic—or chaos. Rooftop views, cozy fireplaces, and a well-stocked bar make it more than just a concert space.","Brooklyn Made
",40.7075727169227,-73.9220702562183,PerformanceVenue,Rooftop,CozyVibe,CommunityHub,Bar,GreatLighting,MusicLovers
80,"An intimate theater space known for experimental, boundary-pushing performances, from queer wonderlands to sung reflections on Black life in America. A bohemian loft hosting plays that leave lasting impressions.","The Bushwick Starr
",40.695745374158700,-73.9044823948492,UndergroundVibes,CommunityHub,ArtisticEnergy,Affordable,LocalFavorite,PerformanceVenue,BoundaryPushing
81,"A forgotten cemetery tucked under the L train—peaceful yet eerie, with razor wire, locked gates, and whispers of a dark past. A quiet walk, but don’t get trapped inside.","Most Holy Trinity Cemetery
",40.6887457962103,-73.902801328679,Historic,Historic,Train,UnsafeAtNight,Healing,LocalFavorite,Historic
82,"A 24-hour haven for organic finds, overpriced produce, and the occasional spoiled surprise—stay for the vegan cheese, leave when you spot a rat near the salad bar.","Food Story Natural Market
",40.6995744801203,-73.9116062881769,LateNight,OrganicOptions,LocalFavorite,SpoiledSurprises,VegetarianFriendly,CommunityHub,UnpredictableService
83,"A beloved neighborhood bodega where Dominican flavors shine, but inconsistent service, pricing concerns, and questionable food safety make every visit a gamble between nostalgia and regret.",Cypress Food Market,40.6965690507132,-73.8998086492736,Dominican,CommunityHub,ServiceConcern,Affordable,HitOrMiss,Friendly,UnpredictableService
84,A bustling corner shop where the Ranchero sandwich on a biscuit has a cult following. A regular’s “signature order” even includes cream cheese and jam. Expect long waits—but it’s worth it.,"Natural Farm Market
",40.6928696281932,-73.9120209069447,Morning,BakeryFav,CoffeeLovers,LocalFavorite,LocalFavorite,OutdoorSeating,BakeryFav
85,"A well-stocked halal market with fresh produce, hard-to-find Middle Eastern spices, and the best pita in the neighborhood. Affordable essentials and a clean, well-organized space for weekly grocery runs.","Al Noor market
",40.6970661210358,-73.9061615357803,Halal,MiddleEastern,BakeryFav,FreshProduce,Affordable,LocalFavorite,Market
86,"""A family-run gem with gourmet finds, a top-notch deli, and the friendliest staff—just don’t expect them to open on time in the morning!""","Forest Mini Market
",40.6909619652115,-73.9085075662663,LocalFavorite,Gourmet,OrganicOptions,FamilyStyle,DeliTaste,Friendly,FreshProduce
87," ""I always leave with something unexpected—but the prices make me wince at checkout."" A late-night haven with vibrant produce, rare finds, and a beer aisle worth browsing.","City Fresh Market - Bushwick

",40.7031091855149,-73.9255195592746,24HR,FreshProduce,Gourmet,Pricey,GreatBeerSelection,NicheItems,LateNight
88,"The music is too loud, the bread sits dangerously close to the restroom, but at 2 AM, when you need fresh vegetables or imported spices, there’s nowhere else like it.","FOOD BAZAAR
",40.6985288588811,-73.9092263329669,24HR,Market,LocalFavorite,LateNight,Chaos,LocalFavorite,UnpredictableService
89,"A family-run deli-turned-market where the owner remembers your order, the juice bar is always fresh, and the bodega cat guards the produce. Don Miguel and his team keep the shelves stocked and the sandwiches stacked.","stop one supermarket
",40.6897434748938,-73.9059433092812,Bodega,DeliTaste,FreshProduce,JuiceBar,CommunityHub,OrganicOptions,LocalFavorite
90,"Their ‘Oh Mama I Love You’ sandwich is packed, flavorful, and worth every bite—this bodega never skimps on portions, and despite some chaos, it’s been a Bushwick staple for years.","Los Limones Deli
",40.6944828902134,-73.9065313587737,Bodega,Bites,LocalFavorite,LocalFavorite,Affordable,LocalFavorite,NoSkimping
91,"""A cleaner-than-most subway stop where the L train arrives reliably, vintage mosaics add charm, but cold drafts and the occasional rat remind you it’s still NYC transit.""
","Halsey St
",40.6956871082056,-73.9041452988675,Metro,Metro,ArtisticEnergy,CleanForNYC,CoffeeLovers,RetroVibes,AlmostFiveStars
92,"A station built around the dead—tracks stacked to respect the cemetery, half outside, half underground, with views that stretch beyond Brooklyn’s rush. Just wish the trains were on time.","Wilson Av
",40.6888593533298,-73.9046571516353,SubwayViews,Metro,Historic,UnpredictableService,UrbanDesign,CommunityHub,UndergroundVibes
93,"A Bushwick haven for artists and dreamers—three floors of art, a backyard built for connection, and events that pulse with creative energy, all wrapped in an unfiltered, unpredictable magic.","Unruly Collective
",40.6890179067988,-73.9060207737202,ArtisticEnergy,CommunityHub,PerformanceVenue,UndergroundVibes,LocalFavorite,DIYVenue,CommunityHub
