Index,Name,Type,Address,Latitude,Longitude
41,Nublu Classic,Venue,"62 Loisaida Ave, New York",40.7225305,-73.9798086
42,Our Wicked Lady,Venue,"153 Morgan Ave, Brooklyn",40.7094279,-73.93318360000000
43,Rebecca's,Live,"610 Bushwick Ave, Brooklyn",40.698218,-73.9342492
44,Roulette Intermedium,Venue,"509 Atlantic Ave, Brooklyn",40.6855768,-73.98069580000000
45,ShapeShifter Lab,Venue,"837 Union St, Brooklyn",40.674967,-73.9760077
46,Sistas' Place,Venue,"456 Nostrand Ave, Brooklyn",40.6833548,-73.9503115
47,Skinny Dennis,Live,"152 Metropolitan Ave, Brooklyn",40.7159021,-73.96213260000000
48,Soapbox Gallery,Venue,"636 Dean St, Brooklyn",40.6803461,-73.96919060000000
49,Spectrum,Venue,"481 Van Brunt St, Brooklyn",40.6733935,-74.0166188
50,Stratosphere Studios,Venue,"227 Utica Ave, Brooklyn",40.6709726,-73.9307824
51,TBA Brooklyn,Venue,"395 Wythe Ave, Brooklyn",40.7111736,-73.9664184
52,The Bell House,Venue,"149 7th St, Brooklyn",40.6735457,-73.9915781
53,The Bell House,Live,"149 7th St, Brooklyn",40.6735457,-73.9915781
54,The Craic,Live,"488 Driggs Ave, Brooklyn",40.7185201,-73.95500800000000
55,The Keep,Live,"205 Cypress Ave, Ridgewood",40.7082262,-73.9196879
56,The Meadows,Venue,"17 Meadow St, Brooklyn",40.710757,-73.9365771
57,The Owl Music Parlor,Venue,"497 Rogers Ave, Brooklyn",40.6601103,-73.9531935
58,The Red Pavilion,Venue,"1241 Flushing Ave, Brooklyn",40.708344,-73.9233995
59,TV Eye,Venue,"1647 Weirfield St, Ridgewood",40.69787720000000,-73.9052593
60,Union Hall,Live,"702 Union St, Brooklyn",40.676124,-73.9800667
61,Warsaw Concerts,Venue,"261 Driggs Ave, Brooklyn",40.7224333,-73.9485028
62,Williamsburg Music Center,Venue,"367 Bedford Ave, Brooklyn",40.7113111,-73.9632007
63,Zone One,Venue,"599 Johnson Ave, Brooklyn",40.7093375,-73.9232313
